Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Diagnosis,Experiment,GEO_Accession (exp),Instrument,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,Sample Name,source_name,SRA Study,Tissue
SRR9666775,OTHER,252,14878971,PRJNA453621,SAMN12249306,6522358,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","s3.us-east-1,gs.US,ncbi.public",healthy,SRX6427513,GSM3936572,Illumina HiSeq 2500,SINGLE,other,GENOMIC,feces metagenome,ILLUMINA,2020-10-02T00:00:00Z,2019-07-10T11:51:00Z,1,GSM3936572,Feces,SRP142644,human fecal tissue
SRR9666776,OTHER,252,17809104,PRJNA453621,SAMN12249305,7688597,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",healthy,SRX6427514,GSM3936573,Illumina HiSeq 2500,SINGLE,other,GENOMIC,feces metagenome,ILLUMINA,2020-10-02T00:00:00Z,2019-07-10T11:51:00Z,1,GSM3936573,Feces,SRP142644,human fecal tissue
SRR9666777,OTHER,252,15530562,PRJNA453621,SAMN12249304,6632755,GEO,public,"run.zq,fastq,sra","ncbi,gs,s3","gs.US,ncbi.public,s3.us-east-1",healthy,SRX6427515,GSM3936574,Illumina HiSeq 2500,SINGLE,other,GENOMIC,feces metagenome,ILLUMINA,2020-10-02T00:00:00Z,2019-07-10T11:38:00Z,1,GSM3936574,Feces,SRP142644,human fecal tissue
SRR9666778,OTHER,252,16733651,PRJNA453621,SAMN12249303,7150388,GEO,public,"sra,run.zq,fastq","s3,ncbi,gs","gs.US,ncbi.public,s3.us-east-1",healthy,SRX6427516,GSM3936575,Illumina HiSeq 2500,SINGLE,other,GENOMIC,feces metagenome,ILLUMINA,2020-10-02T00:00:00Z,2019-07-10T11:40:00Z,1,GSM3936575,Feces,SRP142644,human fecal tissue
SRR9666780,OTHER,252,15497109,PRJNA453621,SAMN12249301,6735698,GEO,public,"run.zq,sra,fastq","ncbi,s3,gs","ncbi.public,s3.us-east-1,gs.US",healthy,SRX6427518,GSM3936577,Illumina HiSeq 2500,SINGLE,other,GENOMIC,feces metagenome,ILLUMINA,2020-10-02T00:00:00Z,2019-07-10T11:53:00Z,1,GSM3936577,Feces,SRP142644,human fecal tissue
SRR9666781,OTHER,252,13788624,PRJNA453621,SAMN12249300,6133836,GEO,public,"sra,fastq,run.zq","gs,s3,ncbi","s3.us-east-1,ncbi.public,gs.US",healthy,SRX6427519,GSM3936578,Illumina HiSeq 2500,SINGLE,other,GENOMIC,feces metagenome,ILLUMINA,2020-10-02T00:00:00Z,2019-07-10T11:46:00Z,1,GSM3936578,Feces,SRP142644,human fecal tissue
SRR9666782,OTHER,252,17775520,PRJNA453621,SAMN12249299,7660954,GEO,public,"sra,run.zq,fastq","s3,ncbi,gs","gs.US,ncbi.public,s3.us-east-1",healthy,SRX6427520,GSM3936579,Illumina HiSeq 2500,SINGLE,other,GENOMIC,feces metagenome,ILLUMINA,2020-10-02T00:00:00Z,2019-07-10T11:45:00Z,1,GSM3936579,Feces,SRP142644,human fecal tissue
SRR9666783,OTHER,252,14992216,PRJNA453621,SAMN12249298,6510833,GEO,public,"run.zq,fastq,sra","s3,ncbi,gs","gs.US,ncbi.public,s3.us-east-1",healthy,SRX6427521,GSM3936580,Illumina HiSeq 2500,SINGLE,other,GENOMIC,feces metagenome,ILLUMINA,2020-10-02T00:00:00Z,2019-07-10T11:51:00Z,1,GSM3936580,Feces,SRP142644,human fecal tissue
SRR9666784,OTHER,252,15236458,PRJNA453621,SAMN12249297,6641300,GEO,public,"fastq,sra,run.zq","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",healthy,SRX6427522,GSM3936581,Illumina HiSeq 2500,SINGLE,other,GENOMIC,feces metagenome,ILLUMINA,2020-10-02T00:00:00Z,2019-07-10T11:45:00Z,1,GSM3936581,Feces,SRP142644,human fecal tissue
SRR9666785,OTHER,252,17531275,PRJNA453621,SAMN12249296,7616138,GEO,public,"fastq,run.zq,sra","gs,s3,ncbi","gs.US,ncbi.public,s3.us-east-1",healthy,SRX6427539,GSM3936582,Illumina HiSeq 2500,SINGLE,other,GENOMIC,feces metagenome,ILLUMINA,2020-10-02T00:00:00Z,2019-07-10T11:51:00Z,1,GSM3936582,Feces,SRP142644,human fecal tissue
SRR9666786,OTHER,252,15137456,PRJNA453621,SAMN12249295,6485908,GEO,public,"fastq,run.zq,sra","gs,s3,ncbi","gs.US,s3.us-east-1,ncbi.public",healthy,SRX6427540,GSM3936583,Illumina HiSeq 2500,SINGLE,other,GENOMIC,feces metagenome,ILLUMINA,2020-10-02T00:00:00Z,2019-07-10T11:55:00Z,1,GSM3936583,Feces,SRP142644,human fecal tissue
SRR9666787,OTHER,252,14808132,PRJNA453621,SAMN12249294,6338412,GEO,public,"sra,fastq,run.zq","ncbi,gs,s3","s3.us-east-1,ncbi.public,gs.US",healthy,SRX6427541,GSM3936584,Illumina HiSeq 2500,SINGLE,other,GENOMIC,feces metagenome,ILLUMINA,2020-10-02T00:00:00Z,2019-07-10T11:51:00Z,1,GSM3936584,Feces,SRP142644,human fecal tissue
SRR9666788,OTHER,252,17413308,PRJNA453621,SAMN12249293,7548775,GEO,public,"fastq,run.zq,sra","gs,s3,ncbi","gs.US,ncbi.public,s3.us-east-1",healthy,SRX6427542,GSM3936585,Illumina HiSeq 2500,SINGLE,other,GENOMIC,feces metagenome,ILLUMINA,2020-10-02T00:00:00Z,2019-07-10T11:51:00Z,1,GSM3936585,Feces,SRP142644,human fecal tissue
SRR9666789,OTHER,252,15056348,PRJNA453621,SAMN12249321,6513749,GEO,public,"sra,run.zq,fastq","ncbi,s3,gs","s3.us-east-1,gs.US,ncbi.public",healthy,SRX6427543,GSM3936586,Illumina HiSeq 2500,SINGLE,other,GENOMIC,feces metagenome,ILLUMINA,2020-10-02T00:00:00Z,2019-07-10T11:52:00Z,1,GSM3936586,Feces,SRP142644,human fecal tissue
SRR9666790,OTHER,252,15498149,PRJNA453621,SAMN12249320,6586036,GEO,public,"fastq,sra,run.zq","gs,s3,ncbi","s3.us-east-1,ncbi.public,gs.US",healthy,SRX6427544,GSM3936587,Illumina HiSeq 2500,SINGLE,other,GENOMIC,feces metagenome,ILLUMINA,2020-10-02T00:00:00Z,2019-07-10T11:52:00Z,1,GSM3936587,Feces,SRP142644,human fecal tissue
SRR9666791,OTHER,252,13104114,PRJNA453621,SAMN12249319,5709487,GEO,public,"sra,run.zq,fastq","s3,ncbi,gs","gs.US,ncbi.public,s3.us-east-1",healthy,SRX6427545,GSM3936588,Illumina HiSeq 2500,SINGLE,other,GENOMIC,feces metagenome,ILLUMINA,2020-10-02T00:00:00Z,2019-07-10T11:50:00Z,1,GSM3936588,Feces,SRP142644,human fecal tissue
SRR9666792,OTHER,252,13761485,PRJNA453621,SAMN12249318,6267459,GEO,public,"run.zq,fastq,sra","ncbi,s3,gs","ncbi.public,s3.us-east-1,gs.US",healthy,SRX6427546,GSM3936589,Illumina HiSeq 2500,SINGLE,other,GENOMIC,feces metagenome,ILLUMINA,2020-10-02T00:00:00Z,2019-07-10T11:51:00Z,1,GSM3936589,Feces,SRP142644,human fecal tissue
SRR9666793,OTHER,252,15366477,PRJNA453621,SAMN12249317,6879708,GEO,public,"sra,fastq,run.zq","gs,s3,ncbi","gs.US,s3.us-east-1,ncbi.public",healthy,SRX6427547,GSM3936590,Illumina HiSeq 2500,SINGLE,other,GENOMIC,feces metagenome,ILLUMINA,2020-10-02T00:00:00Z,2019-07-10T11:55:00Z,1,GSM3936590,Feces,SRP142644,human fecal tissue
SRR9666794,OTHER,252,12016289,PRJNA453621,SAMN12249316,5448292,GEO,public,"sra,fastq,run.zq","s3,gs,ncbi","ncbi.public,gs.US,s3.us-east-1",healthy,SRX6427548,GSM3936591,Illumina HiSeq 2500,SINGLE,other,GENOMIC,feces metagenome,ILLUMINA,2020-10-02T00:00:00Z,2019-07-10T11:45:00Z,1,GSM3936591,Feces,SRP142644,human fecal tissue
SRR9666795,OTHER,252,14787413,PRJNA453621,SAMN12249315,5959061,GEO,public,"sra,fastq,run.zq","s3,gs,ncbi","gs.US,ncbi.public,s3.us-east-1",healthy,SRX6427549,GSM3936592,Illumina HiSeq 2500,SINGLE,other,GENOMIC,feces metagenome,ILLUMINA,2020-10-02T00:00:00Z,2019-07-10T11:59:00Z,1,GSM3936592,Feces,SRP142644,human fecal tissue
SRR9666796,OTHER,252,12121830,PRJNA453621,SAMN12249314,5494279,GEO,public,"fastq,run.zq,sra","s3,ncbi,gs","ncbi.public,gs.US,s3.us-east-1",healthy,SRX6427550,GSM3936593,Illumina HiSeq 2500,SINGLE,other,GENOMIC,feces metagenome,ILLUMINA,2020-10-02T00:00:00Z,2019-07-10T11:40:00Z,1,GSM3936593,Feces,SRP142644,human fecal tissue
SRR9666797,OTHER,252,12677131,PRJNA453621,SAMN12249313,5779290,GEO,public,"fastq,run.zq,sra","gs,s3,ncbi","gs.US,s3.us-east-1,ncbi.public",healthy,SRX6427551,GSM3936594,Illumina HiSeq 2500,SINGLE,other,GENOMIC,feces metagenome,ILLUMINA,2020-10-02T00:00:00Z,2019-07-10T11:51:00Z,1,GSM3936594,Feces,SRP142644,human fecal tissue
SRR9666798,OTHER,252,15226152,PRJNA453621,SAMN12249312,6961507,GEO,public,"fastq,sra,run.zq","s3,gs,ncbi","gs.US,s3.us-east-1,ncbi.public",healthy,SRX6427552,GSM3936595,Illumina HiSeq 2500,SINGLE,other,GENOMIC,feces metagenome,ILLUMINA,2020-10-02T00:00:00Z,2019-07-10T11:51:00Z,1,GSM3936595,Feces,SRP142644,human fecal tissue
SRR9666799,OTHER,252,10322119,PRJNA453621,SAMN12249311,4275582,GEO,public,"fastq,sra,run.zq","gs,s3,ncbi","ncbi.public,gs.US,s3.us-east-1",healthy,SRX6427553,GSM3936596,Illumina HiSeq 2500,SINGLE,other,GENOMIC,feces metagenome,ILLUMINA,2020-10-02T00:00:00Z,2019-07-10T11:51:00Z,1,GSM3936596,Feces,SRP142644,human fecal tissue
SRR9666800,OTHER,252,12378933,PRJNA453621,SAMN12249310,5010879,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","ncbi.public,s3.us-east-1,gs.US",healthy,SRX6427554,GSM3936597,Illumina HiSeq 2500,SINGLE,other,GENOMIC,feces metagenome,ILLUMINA,2020-10-02T00:00:00Z,2019-07-10T11:51:00Z,1,GSM3936597,Feces,SRP142644,human fecal tissue
SRR9666801,OTHER,252,10560660,PRJNA453621,SAMN12249309,4420481,GEO,public,"sra,fastq,run.zq","ncbi,gs,s3","ncbi.public,s3.us-east-1,gs.US",healthy,SRX6427571,GSM3936598,Illumina HiSeq 2500,SINGLE,other,GENOMIC,feces metagenome,ILLUMINA,2020-10-02T00:00:00Z,2019-07-10T11:55:00Z,1,GSM3936598,Feces,SRP142644,human fecal tissue
SRR9666802,OTHER,252,14516464,PRJNA453621,SAMN12249358,6003876,GEO,public,"sra,fastq,run.zq","gs,s3,ncbi","gs.US,s3.us-east-1,ncbi.public",healthy,SRX6427572,GSM3936599,Illumina HiSeq 2500,SINGLE,other,GENOMIC,feces metagenome,ILLUMINA,2020-10-02T00:00:00Z,2019-07-10T11:56:00Z,1,GSM3936599,Feces,SRP142644,human fecal tissue
SRR9666803,OTHER,252,12167436,PRJNA453621,SAMN12249357,4944907,GEO,public,"run.zq,sra,fastq","gs,s3,ncbi","s3.us-east-1,gs.US,ncbi.public",healthy,SRX6427573,GSM3936600,Illumina HiSeq 2500,SINGLE,other,GENOMIC,feces metagenome,ILLUMINA,2020-10-02T00:00:00Z,2019-07-10T11:52:00Z,1,GSM3936600,Feces,SRP142644,human fecal tissue
SRR9666804,OTHER,252,12778366,PRJNA453621,SAMN12249356,5246725,GEO,public,"fastq,sra,run.zq","ncbi,s3,gs","s3.us-east-1,gs.US,ncbi.public",healthy,SRX6427574,GSM3936601,Illumina HiSeq 2500,SINGLE,other,GENOMIC,feces metagenome,ILLUMINA,2020-10-02T00:00:00Z,2019-07-10T11:56:00Z,1,GSM3936601,Feces,SRP142644,human fecal tissue
SRR9666805,OTHER,252,9053759,PRJNA453621,SAMN12249355,3843949,GEO,public,"fastq,sra,run.zq","gs,ncbi,s3","s3.us-east-1,gs.US,ncbi.public",healthy,SRX6427575,GSM3936602,Illumina HiSeq 2500,SINGLE,other,GENOMIC,feces metagenome,ILLUMINA,2020-10-02T00:00:00Z,2019-07-10T11:52:00Z,1,GSM3936602,Feces,SRP142644,human fecal tissue
SRR9666806,OTHER,252,14299132,PRJNA453621,SAMN12249354,5862649,GEO,public,"sra,fastq,run.zq","ncbi,s3,gs","gs.US,s3.us-east-1,ncbi.public",healthy,SRX6427576,GSM3936603,Illumina HiSeq 2500,SINGLE,other,GENOMIC,feces metagenome,ILLUMINA,2020-10-02T00:00:00Z,2019-07-10T11:45:00Z,1,GSM3936603,Feces,SRP142644,human fecal tissue
SRR9666807,OTHER,252,14102365,PRJNA453621,SAMN12249353,5871890,GEO,public,"fastq,sra,run.zq","ncbi,gs,s3","ncbi.public,s3.us-east-1,gs.US",healthy,SRX6427577,GSM3936604,Illumina HiSeq 2500,SINGLE,other,GENOMIC,feces metagenome,ILLUMINA,2020-10-02T00:00:00Z,2019-07-10T11:45:00Z,1,GSM3936604,Feces,SRP142644,human fecal tissue
SRR9666808,OTHER,252,14882837,PRJNA453621,SAMN12249352,6195802,GEO,public,"fastq,run.zq,sra","ncbi,s3,gs","s3.us-east-1,gs.US,ncbi.public",healthy,SRX6427578,GSM3936605,Illumina HiSeq 2500,SINGLE,other,GENOMIC,feces metagenome,ILLUMINA,2020-10-02T00:00:00Z,2019-07-10T11:51:00Z,1,GSM3936605,Feces,SRP142644,human fecal tissue
SRR9666809,OTHER,252,13174165,PRJNA453621,SAMN12249351,5448204,GEO,public,"run.zq,fastq,sra","ncbi,gs,s3","s3.us-east-1,gs.US,ncbi.public",healthy,SRX6427579,GSM3936606,Illumina HiSeq 2500,SINGLE,other,GENOMIC,feces metagenome,ILLUMINA,2020-10-02T00:00:00Z,2019-07-10T11:52:00Z,1,GSM3936606,Feces,SRP142644,human fecal tissue
SRR9666810,OTHER,252,11981085,PRJNA453621,SAMN12249350,5000753,GEO,public,"fastq,sra,run.zq","ncbi,gs,s3","gs.US,s3.us-east-1,ncbi.public",healthy,SRX6427580,GSM3936607,Illumina HiSeq 2500,SINGLE,other,GENOMIC,feces metagenome,ILLUMINA,2020-10-02T00:00:00Z,2019-07-10T11:52:00Z,1,GSM3936607,Feces,SRP142644,human fecal tissue
SRR9666811,OTHER,252,14840689,PRJNA453621,SAMN12249349,6200349,GEO,public,"run.zq,sra,fastq","gs,ncbi,s3","s3.us-east-1,gs.US,ncbi.public",healthy,SRX6427581,GSM3936608,Illumina HiSeq 2500,SINGLE,other,GENOMIC,feces metagenome,ILLUMINA,2020-10-02T00:00:00Z,2019-07-10T11:52:00Z,1,GSM3936608,Feces,SRP142644,human fecal tissue
SRR9666812,OTHER,252,11956808,PRJNA453621,SAMN12249348,4971088,GEO,public,"fastq,run.zq,sra","ncbi,gs,s3","s3.us-east-1,ncbi.public,gs.US",healthy,SRX6427582,GSM3936609,Illumina HiSeq 2500,SINGLE,other,GENOMIC,feces metagenome,ILLUMINA,2020-10-02T00:00:00Z,2019-07-10T11:51:00Z,1,GSM3936609,Feces,SRP142644,human fecal tissue
SRR9666813,OTHER,252,9633109,PRJNA453621,SAMN12249347,4016793,GEO,public,"sra,run.zq,fastq","s3,ncbi,gs","gs.US,ncbi.public,s3.us-east-1",healthy,SRX6427583,GSM3936610,Illumina HiSeq 2500,SINGLE,other,GENOMIC,feces metagenome,ILLUMINA,2020-10-02T00:00:00Z,2019-07-10T11:39:00Z,1,GSM3936610,Feces,SRP142644,human fecal tissue
SRR9666814,OTHER,252,14130299,PRJNA453621,SAMN12249346,5850810,GEO,public,"sra,run.zq,fastq","s3,ncbi,gs","s3.us-east-1,ncbi.public,gs.US",healthy,SRX6427584,GSM3936611,Illumina HiSeq 2500,SINGLE,other,GENOMIC,feces metagenome,ILLUMINA,2020-10-02T00:00:00Z,2019-07-10T11:53:00Z,1,GSM3936611,Feces,SRP142644,human fecal tissue
SRR9666815,OTHER,252,13161568,PRJNA453621,SAMN12249345,5236138,GEO,public,"run.zq,fastq,sra","s3,gs,ncbi","s3.us-east-1,ncbi.public,gs.US",healthy,SRX6427585,GSM3936612,Illumina HiSeq 2500,SINGLE,other,GENOMIC,feces metagenome,ILLUMINA,2020-10-02T00:00:00Z,2019-07-10T11:52:00Z,1,GSM3936612,Feces,SRP142644,human fecal tissue
SRR9666816,OTHER,252,11427636,PRJNA453621,SAMN12249344,4799573,GEO,public,"sra,fastq,run.zq","ncbi,s3,gs","ncbi.public,s3.us-east-1,gs.US",healthy,SRX6427586,GSM3936613,Illumina HiSeq 2500,SINGLE,other,GENOMIC,feces metagenome,ILLUMINA,2020-10-02T00:00:00Z,2019-07-10T11:29:00Z,1,GSM3936613,Feces,SRP142644,human fecal tissue
SRR9666817,OTHER,252,13472123,PRJNA453621,SAMN12249343,5596856,GEO,public,"run.zq,sra,fastq","gs,ncbi,s3","s3.us-east-1,ncbi.public,gs.US",healthy,SRX6427603,GSM3936614,Illumina HiSeq 2500,SINGLE,other,GENOMIC,feces metagenome,ILLUMINA,2020-10-02T00:00:00Z,2019-07-10T11:53:00Z,1,GSM3936614,Feces,SRP142644,human fecal tissue
SRR9666818,OTHER,252,9700664,PRJNA453621,SAMN12249146,4118714,GEO,public,"fastq,run.zq,sra","ncbi,s3,gs","s3.us-east-1,gs.US,ncbi.public",healthy,SRX6427604,GSM3936615,Illumina HiSeq 2500,SINGLE,other,GENOMIC,feces metagenome,ILLUMINA,2020-10-02T00:00:00Z,2019-07-10T11:39:00Z,1,GSM3936615,Feces,SRP142644,human fecal tissue
SRR9666819,OTHER,252,12182065,PRJNA453621,SAMN12249145,5047588,GEO,public,"fastq,sra,run.zq","s3,gs,ncbi","ncbi.public,s3.us-east-1,gs.US",healthy,SRX6427605,GSM3936616,Illumina HiSeq 2500,SINGLE,other,GENOMIC,feces metagenome,ILLUMINA,2020-10-02T00:00:00Z,2019-07-10T11:51:00Z,1,GSM3936616,Feces,SRP142644,human fecal tissue
SRR9666820,OTHER,252,12500886,PRJNA453621,SAMN12249144,5258236,GEO,public,"run.zq,fastq,sra","gs,ncbi,s3","ncbi.public,s3.us-east-1,gs.US",healthy,SRX6427606,GSM3936617,Illumina HiSeq 2500,SINGLE,other,GENOMIC,feces metagenome,ILLUMINA,2020-10-02T00:00:00Z,2019-07-10T11:46:00Z,1,GSM3936617,Feces,SRP142644,human fecal tissue
SRR9666821,OTHER,252,11648010,PRJNA453621,SAMN12249143,4841920,GEO,public,"fastq,run.zq,sra","s3,ncbi,gs","ncbi.public,gs.US,s3.us-east-1",healthy,SRX6427607,GSM3936618,Illumina HiSeq 2500,SINGLE,other,GENOMIC,feces metagenome,ILLUMINA,2020-10-02T00:00:00Z,2019-07-10T11:51:00Z,1,GSM3936618,Feces,SRP142644,human fecal tissue
SRR9666822,OTHER,252,14514939,PRJNA453621,SAMN12249142,6050316,GEO,public,"sra,fastq,run.zq","ncbi,gs,s3","s3.us-east-1,ncbi.public,gs.US",healthy,SRX6427608,GSM3936619,Illumina HiSeq 2500,SINGLE,other,GENOMIC,feces metagenome,ILLUMINA,2020-10-02T00:00:00Z,2019-07-10T11:53:00Z,1,GSM3936619,Feces,SRP142644,human fecal tissue
SRR9666823,OTHER,252,11372676,PRJNA453621,SAMN12249141,4637801,GEO,public,"fastq,run.zq,sra","ncbi,gs,s3","s3.us-east-1,gs.US,ncbi.public",healthy,SRX6427609,GSM3936620,Illumina HiSeq 2500,SINGLE,other,GENOMIC,feces metagenome,ILLUMINA,2020-10-02T00:00:00Z,2019-07-10T11:59:00Z,1,GSM3936620,Feces,SRP142644,human fecal tissue
SRR9666824,OTHER,252,13954965,PRJNA453621,SAMN12249140,5756298,GEO,public,"sra,fastq,run.zq","gs,ncbi,s3","ncbi.public,gs.US,s3.us-east-1",healthy,SRX6427610,GSM3936621,Illumina HiSeq 2500,SINGLE,other,GENOMIC,feces metagenome,ILLUMINA,2020-10-02T00:00:00Z,2019-07-10T11:52:00Z,1,GSM3936621,Feces,SRP142644,human fecal tissue
SRR9666826,OTHER,252,13655788,PRJNA453621,SAMN12249138,5651251,GEO,public,"sra,fastq,run.zq","s3,ncbi,gs","s3.us-east-1,ncbi.public,gs.US",healthy,SRX6427612,GSM3936623,Illumina HiSeq 2500,SINGLE,other,GENOMIC,feces metagenome,ILLUMINA,2020-10-02T00:00:00Z,2019-07-10T11:51:00Z,1,GSM3936623,Feces,SRP142644,human fecal tissue
SRR9666827,OTHER,252,11336323,PRJNA453621,SAMN12249137,4681033,GEO,public,"run.zq,fastq,sra","gs,s3,ncbi","s3.us-east-1,ncbi.public,gs.US",healthy,SRX6427613,GSM3936624,Illumina HiSeq 2500,SINGLE,other,GENOMIC,feces metagenome,ILLUMINA,2020-10-02T00:00:00Z,2019-07-10T11:51:00Z,1,GSM3936624,Feces,SRP142644,human fecal tissue
SRR9666828,OTHER,252,11976624,PRJNA453621,SAMN12249136,4886932,GEO,public,"run.zq,fastq,sra","gs,s3,ncbi","ncbi.public,s3.us-east-1,gs.US",healthy,SRX6427614,GSM3936625,Illumina HiSeq 2500,SINGLE,other,GENOMIC,feces metagenome,ILLUMINA,2020-10-02T00:00:00Z,2019-07-10T11:52:00Z,1,GSM3936625,Feces,SRP142644,human fecal tissue
SRR9666829,OTHER,252,10713179,PRJNA453621,SAMN12249135,4264101,GEO,public,"sra,run.zq,fastq","ncbi,gs,s3","s3.us-east-1,gs.US,ncbi.public",healthy,SRX6427615,GSM3936626,Illumina HiSeq 2500,SINGLE,other,GENOMIC,feces metagenome,ILLUMINA,2020-10-02T00:00:00Z,2019-07-10T11:51:00Z,1,GSM3936626,Feces,SRP142644,human fecal tissue
SRR9666830,OTHER,252,12762996,PRJNA453621,SAMN12249134,5361424,GEO,public,"run.zq,sra,fastq","s3,ncbi,gs","gs.US,s3.us-east-1,ncbi.public",healthy,SRX6427616,GSM3936627,Illumina HiSeq 2500,SINGLE,other,GENOMIC,feces metagenome,ILLUMINA,2020-10-02T00:00:00Z,2019-07-10T11:53:00Z,1,GSM3936627,Feces,SRP142644,human fecal tissue
SRR9666831,OTHER,252,14135658,PRJNA453621,SAMN12249133,5779615,GEO,public,"run.zq,fastq,sra","gs,ncbi,s3","s3.us-east-1,ncbi.public,gs.US",healthy,SRX6427617,GSM3936628,Illumina HiSeq 2500,SINGLE,other,GENOMIC,feces metagenome,ILLUMINA,2020-10-02T00:00:00Z,2019-07-10T11:46:00Z,1,GSM3936628,Feces,SRP142644,human fecal tissue
SRR9666832,OTHER,252,12548796,PRJNA453621,SAMN12249132,5138805,GEO,public,"run.zq,sra,fastq","gs,s3,ncbi","s3.us-east-1,ncbi.public,gs.US",healthy,SRX6427618,GSM3936629,Illumina HiSeq 2500,SINGLE,other,GENOMIC,feces metagenome,ILLUMINA,2020-10-02T00:00:00Z,2019-07-10T11:45:00Z,1,GSM3936629,Feces,SRP142644,human fecal tissue
SRR9666833,OTHER,252,15059257,PRJNA453621,SAMN12249131,6238436,GEO,public,"fastq,sra,run.zq","gs,s3,ncbi","gs.US,s3.us-east-1,ncbi.public",healthy,SRX6427635,GSM3936630,Illumina HiSeq 2500,SINGLE,other,GENOMIC,feces metagenome,ILLUMINA,2020-10-02T00:00:00Z,2019-07-10T11:56:00Z,1,GSM3936630,Feces,SRP142644,human fecal tissue
SRR9666834,OTHER,252,11927180,PRJNA453621,SAMN12249130,5014598,GEO,public,"run.zq,sra,fastq","s3,ncbi,gs","s3.us-east-1,gs.US,ncbi.public",healthy,SRX6427636,GSM3936631,Illumina HiSeq 2500,SINGLE,other,GENOMIC,feces metagenome,ILLUMINA,2020-10-02T00:00:00Z,2019-07-10T11:55:00Z,1,GSM3936631,Feces,SRP142644,human fecal tissue
SRR9666835,OTHER,252,13001902,PRJNA453621,SAMN12249129,5065857,GEO,public,"run.zq,sra,fastq","gs,ncbi,s3","ncbi.public,s3.us-east-1,gs.US",healthy,SRX6427637,GSM3936632,Illumina HiSeq 2500,SINGLE,other,GENOMIC,feces metagenome,ILLUMINA,2020-10-02T00:00:00Z,2019-07-10T11:51:00Z,1,GSM3936632,Feces,SRP142644,human fecal tissue
SRR9666837,OTHER,252,12930985,PRJNA453621,SAMN12249125,5160353,GEO,public,"run.zq,fastq,sra","ncbi,gs,s3","ncbi.public,gs.US,s3.us-east-1",healthy,SRX6427639,GSM3936634,Illumina HiSeq 2500,SINGLE,other,GENOMIC,feces metagenome,ILLUMINA,2020-10-02T00:00:00Z,2019-07-10T11:51:00Z,1,GSM3936634,Feces,SRP142644,human fecal tissue
SRR9666838,OTHER,252,13455654,PRJNA453621,SAMN12249178,5652489,GEO,public,"sra,run.zq,fastq","s3,ncbi,gs","s3.us-east-1,ncbi.public,gs.US",healthy,SRX6427640,GSM3936635,Illumina HiSeq 2500,SINGLE,other,GENOMIC,feces metagenome,ILLUMINA,2020-10-02T00:00:00Z,2019-07-10T11:51:00Z,1,GSM3936635,Feces,SRP142644,human fecal tissue
SRR9666839,OTHER,252,14261843,PRJNA453621,SAMN12249177,5939091,GEO,public,"fastq,run.zq,sra","s3,gs,ncbi","ncbi.public,gs.US,s3.us-east-1",healthy,SRX6427641,GSM3936636,Illumina HiSeq 2500,SINGLE,other,GENOMIC,feces metagenome,ILLUMINA,2020-10-02T00:00:00Z,2019-07-10T11:51:00Z,1,GSM3936636,Feces,SRP142644,human fecal tissue
SRR9666840,OTHER,252,12576447,PRJNA453621,SAMN12249176,5282251,GEO,public,"sra,run.zq,fastq","s3,gs,ncbi","gs.US,s3.us-east-1,ncbi.public",healthy,SRX6427642,GSM3936637,Illumina HiSeq 2500,SINGLE,other,GENOMIC,feces metagenome,ILLUMINA,2020-10-02T00:00:00Z,2019-07-10T11:51:00Z,1,GSM3936637,Feces,SRP142644,human fecal tissue
SRR9666841,OTHER,252,11005571,PRJNA453621,SAMN12249128,4590253,GEO,public,"run.zq,sra,fastq","gs,ncbi,s3","gs.US,s3.us-east-1,ncbi.public",healthy,SRX6427643,GSM3936638,Illumina HiSeq 2500,SINGLE,other,GENOMIC,feces metagenome,ILLUMINA,2020-10-02T00:00:00Z,2019-07-10T11:52:00Z,1,GSM3936638,Feces,SRP142644,human fecal tissue
SRR9666842,OTHER,254,9011642,PRJNA453621,SAMN12249127,3828230,GEO,public,"sra,fastq,run.zq","s3,ncbi,gs","ncbi.public,gs.US,s3.us-east-1",healthy,SRX6427644,GSM3936639,Illumina HiSeq 2500,SINGLE,other,GENOMIC,feces metagenome,ILLUMINA,2020-10-02T00:00:00Z,2019-07-10T11:51:00Z,1,GSM3936639,Feces,SRP142644,human fecal tissue
SRR9666843,OTHER,252,13031317,PRJNA453621,SAMN12249175,5385822,GEO,public,"fastq,run.zq,sra","ncbi,s3,gs","s3.us-east-1,gs.US,ncbi.public",healthy,SRX6427645,GSM3936640,Illumina HiSeq 2500,SINGLE,other,GENOMIC,feces metagenome,ILLUMINA,2020-10-02T00:00:00Z,2019-07-10T11:38:00Z,1,GSM3936640,Feces,SRP142644,human fecal tissue
