run_accession	sample_accession	experiment_accession	study_accession	tax_id	scientific_name	fastq_ftp	submitted_ftp	sra_ftp	sample_alias	sample_title
ERR5263120	SAMEA7872112	ERX5053456	PRJEB42687	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR526/000/ERR5263120/ERR5263120_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR526/000/ERR5263120/ERR5263120_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR526/ERR5263120/stool.ASD.27.2_51_L001_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR526/ERR5263120/stool.ASD.27.2_51_L001_R2_001.fastq.gz		stool.ASD.27.2	stool.ASD.27.2
ERR5263122	SAMEA7872114	ERX5053458	PRJEB42687	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR526/002/ERR5263122/ERR5263122_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR526/002/ERR5263122/ERR5263122_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR526/ERR5263122/stool.ASD.27.4.ASU_21_L001_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR526/ERR5263122/stool.ASD.27.4.ASU_21_L001_R2_001.fastq.gz		stool.ASD.27.4.ASU	stool.ASD.27.4.ASU
ERR5263125	SAMEA7872071	ERX5053461	PRJEB42687	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR526/005/ERR5263125/ERR5263125_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR526/005/ERR5263125/ERR5263125_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR526/ERR5263125/stool.ASD.3.1B_36_L001_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR526/ERR5263125/stool.ASD.3.1B_36_L001_R2_001.fastq.gz		stool.ASD.3.1B	stool.ASD.3.1B
ERR5263126	SAMEA7872072	ERX5053462	PRJEB42687	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR526/006/ERR5263126/ERR5263126_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR526/006/ERR5263126/ERR5263126_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR526/ERR5263126/stool.ASD.4.1_46_L001_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR526/ERR5263126/stool.ASD.4.1_46_L001_R2_001.fastq.gz		stool.ASD.4.1	stool.ASD.4.1
ERR5263127	SAMEA7872073	ERX5053463	PRJEB42687	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR526/007/ERR5263127/ERR5263127_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR526/007/ERR5263127/ERR5263127_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR526/ERR5263127/stool.ASD.6.1_6_L001_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR526/ERR5263127/stool.ASD.6.1_6_L001_R2_001.fastq.gz		stool.ASD.6.1	stool.ASD.6.1
ERR5263129	SAMEA7872075	ERX5053465	PRJEB42687	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR526/009/ERR5263129/ERR5263129_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR526/009/ERR5263129/ERR5263129_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR526/ERR5263129/stool.ASD.6.4_7_L001_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR526/ERR5263129/stool.ASD.6.4_7_L001_R2_001.fastq.gz		stool.ASD.6.4	stool.ASD.6.4
ERR5263131	SAMEA7872077	ERX5053467	PRJEB42687	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR526/001/ERR5263131/ERR5263131_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR526/001/ERR5263131/ERR5263131_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR526/ERR5263131/stool.ASD.7.2_53_L001_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR526/ERR5263131/stool.ASD.7.2_53_L001_R2_001.fastq.gz		stool.ASD.7.2	stool.ASD.7.2
ERR5263132	SAMEA7872078	ERX5053468	PRJEB42687	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR526/002/ERR5263132/ERR5263132_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR526/002/ERR5263132/ERR5263132_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR526/ERR5263132/stool.ASD.7.3_26_L001_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR526/ERR5263132/stool.ASD.7.3_26_L001_R2_001.fastq.gz		stool.ASD.7.3	stool.ASD.7.3
ERR5263133	SAMEA7872079	ERX5053469	PRJEB42687	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR526/003/ERR5263133/ERR5263133_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR526/003/ERR5263133/ERR5263133_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR526/ERR5263133/stool.ASD.7.4_34_L001_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR526/ERR5263133/stool.ASD.7.4_34_L001_R2_001.fastq.gz		stool.ASD.7.4	stool.ASD.7.4
ERR5263134	SAMEA7872080	ERX5053470	PRJEB42687	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR526/004/ERR5263134/ERR5263134_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR526/004/ERR5263134/ERR5263134_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR526/ERR5263134/stool.ASD.7.4.ASU_2_L001_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR526/ERR5263134/stool.ASD.7.4.ASU_2_L001_R2_001.fastq.gz		stool.ASD.7.4.ASU	stool.ASD.7.4.ASU
ERR5263139	SAMEA7872093	ERX5053475	PRJEB42687	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR526/009/ERR5263139/ERR5263139_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR526/009/ERR5263139/ERR5263139_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR526/ERR5263139/stool.control.15S.1_3_L001_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR526/ERR5263139/stool.control.15S.1_3_L001_R2_001.fastq.gz		stool.control.15S.1	stool.control.15S.1
ERR5263141	SAMEA7872095	ERX5053477	PRJEB42687	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR526/001/ERR5263141/ERR5263141_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR526/001/ERR5263141/ERR5263141_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR526/ERR5263141/stool.control.15S.3_37_L001_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR526/ERR5263141/stool.control.15S.3_37_L001_R2_001.fastq.gz		stool.control.15S.3	stool.control.15S.3
ERR5263142	SAMEA7872096	ERX5053478	PRJEB42687	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR526/002/ERR5263142/ERR5263142_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR526/002/ERR5263142/ERR5263142_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR526/ERR5263142/stool.control.15S.4_14_L001_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR526/ERR5263142/stool.control.15S.4_14_L001_R2_001.fastq.gz		stool.control.15S.4	stool.control.15S.4
ERR5263143	SAMEA7872097	ERX5053479	PRJEB42687	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR526/003/ERR5263143/ERR5263143_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR526/003/ERR5263143/ERR5263143_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR526/ERR5263143/stool.control.15S.4.ASU_25_L001_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR526/ERR5263143/stool.control.15S.4.ASU_25_L001_R2_001.fastq.gz		stool.control.15S.4.ASU	stool.control.15S.4.ASU
ERR5263144	SAMEA7872098	ERX5053480	PRJEB42687	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR526/004/ERR5263144/ERR5263144_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR526/004/ERR5263144/ERR5263144_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR526/ERR5263144/stool.control.18S.1_45_L001_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR526/ERR5263144/stool.control.18S.1_45_L001_R2_001.fastq.gz		stool.control.18S.1	stool.control.18S.1
ERR5263145	SAMEA7872109	ERX5053481	PRJEB42687	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR526/005/ERR5263145/ERR5263145_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR526/005/ERR5263145/ERR5263145_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR526/ERR5263145/stool.control.26S.1_11_L001_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR526/ERR5263145/stool.control.26S.1_11_L001_R2_001.fastq.gz		stool.control.26S.1	stool.control.26S.1
ERR5263146	SAMEA7872110	ERX5053482	PRJEB42687	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR526/006/ERR5263146/ERR5263146_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR526/006/ERR5263146/ERR5263146_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR526/ERR5263146/stool.control.26S.1.ASU_17_L001_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR526/ERR5263146/stool.control.26S.1.ASU_17_L001_R2_001.fastq.gz		stool.control.26S.1.ASU	stool.control.26S.1.ASU
ERR5263149	SAMEA7872118	ERX5053485	PRJEB42687	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR526/009/ERR5263149/ERR5263149_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR526/009/ERR5263149/ERR5263149_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR526/ERR5263149/stool.control.29C.1_20_L001_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR526/ERR5263149/stool.control.29C.1_20_L001_R2_001.fastq.gz		stool.control.29C.1	stool.control.29C.1
ERR5263150	SAMEA7872119	ERX5053486	PRJEB42687	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR526/000/ERR5263150/ERR5263150_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR526/000/ERR5263150/ERR5263150_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR526/ERR5263150/stool.control.30C.1_7_L001_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR526/ERR5263150/stool.control.30C.1_7_L001_R2_001.fastq.gz		stool.control.30C.1	stool.control.30C.1
ERR5263152	SAMEA7872122	ERX5053488	PRJEB42687	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR526/002/ERR5263152/ERR5263152_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR526/002/ERR5263152/ERR5263152_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR526/ERR5263152/stool.control.30C.4_13_L001_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR526/ERR5263152/stool.control.30C.4_13_L001_R2_001.fastq.gz		stool.control.30C.4	stool.control.30C.4
ERR5263153	SAMEA7872123	ERX5053489	PRJEB42687	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR526/003/ERR5263153/ERR5263153_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR526/003/ERR5263153/ERR5263153_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR526/ERR5263153/stool.control.30C.5_6_L001_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR526/ERR5263153/stool.control.30C.5_6_L001_R2_001.fastq.gz		stool.control.30C.5	stool.control.30C.5
ERR5263155	SAMEA7872125	ERX5053491	PRJEB42687	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR526/005/ERR5263155/ERR5263155_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR526/005/ERR5263155/ERR5263155_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR526/ERR5263155/stool.control.31C.2_42_L001_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR526/ERR5263155/stool.control.31C.2_42_L001_R2_001.fastq.gz		stool.control.31C.2	stool.control.31C.2
ERR5263157	SAMEA7872127	ERX5053493	PRJEB42687	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR526/007/ERR5263157/ERR5263157_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR526/007/ERR5263157/ERR5263157_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR526/ERR5263157/stool.control.32C.1_19_L001_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR526/ERR5263157/stool.control.32C.1_19_L001_R2_001.fastq.gz		stool.control.32C.1	stool.control.32C.1
ERR5263160	SAMEA7872130	ERX5053496	PRJEB42687	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR526/000/ERR5263160/ERR5263160_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR526/000/ERR5263160/ERR5263160_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR526/ERR5263160/stool.control.32C.2.run2_1_L001_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR526/ERR5263160/stool.control.32C.2.run2_1_L001_R2_001.fastq.gz		stool.control.32C.2B	stool.control.32C.2B
ERR5263162	SAMEA7872132	ERX5053498	PRJEB42687	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR526/002/ERR5263162/ERR5263162_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR526/002/ERR5263162/ERR5263162_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR526/ERR5263162/stool.control.34C.1_29_L001_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR526/ERR5263162/stool.control.34C.1_29_L001_R2_001.fastq.gz		stool.control.34C.1	stool.control.34C.1
ERR5263163	SAMEA7872133	ERX5053499	PRJEB42687	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR526/003/ERR5263163/ERR5263163_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR526/003/ERR5263163/ERR5263163_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR526/ERR5263163/stool.control.35C.1A_22_L001_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR526/ERR5263163/stool.control.35C.1A_22_L001_R2_001.fastq.gz		stool.control.35C.1A	stool.control.35C.1A
ERR5263164	SAMEA7872134	ERX5053500	PRJEB42687	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR526/004/ERR5263164/ERR5263164_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR526/004/ERR5263164/ERR5263164_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR526/ERR5263164/stool.control.35C.1B_13_L001_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR526/ERR5263164/stool.control.35C.1B_13_L001_R2_001.fastq.gz		stool.control.35C.1B	stool.control.35C.1B
ERR5263167	SAMEA7872137	ERX5053503	PRJEB42687	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR526/007/ERR5263167/ERR5263167_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR526/007/ERR5263167/ERR5263167_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR526/ERR5263167/stool.control.38C.1.ASU_16_L001_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR526/ERR5263167/stool.control.38C.1.ASU_16_L001_R2_001.fastq.gz		stool.control.38C.1.ASU	stool.control.38C.1.ASU
ERR5263169	SAMEA7872139	ERX5053505	PRJEB42687	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR526/009/ERR5263169/ERR5263169_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR526/009/ERR5263169/ERR5263169_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR526/ERR5263169/stool.control.38C.2B_27_L001_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR526/ERR5263169/stool.control.38C.2B_27_L001_R2_001.fastq.gz		stool.control.38C.2B	stool.control.38C.2B
ERR5263171	SAMEA7872141	ERX5053507	PRJEB42687	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR526/001/ERR5263171/ERR5263171_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR526/001/ERR5263171/ERR5263171_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR526/ERR5263171/stool.control.39C.2_24_L001_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR526/ERR5263171/stool.control.39C.2_24_L001_R2_001.fastq.gz		stool.control.39C.2	stool.control.39C.2
ERR5263176	SAMEA7872146	ERX5053512	PRJEB42687	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR526/006/ERR5263176/ERR5263176_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR526/006/ERR5263176/ERR5263176_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR526/ERR5263176/stool.control.40C.4_20_L001_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR526/ERR5263176/stool.control.40C.4_20_L001_R2_001.fastq.gz		stool.control.40C.4	stool.control.40C.4
ERR5263177	SAMEA7872147	ERX5053513	PRJEB42687	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR526/007/ERR5263177/ERR5263177_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR526/007/ERR5263177/ERR5263177_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR526/ERR5263177/stool.control.40C.5_23_L001_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR526/ERR5263177/stool.control.40C.5_23_L001_R2_001.fastq.gz		stool.control.40C.5	stool.control.40C.5
